---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 1    , 17   , 5414   , way-yit-tên            , And set                        ,                                             , Conj-w ; V-Qal-ConsecImperf-3ms
gen  , 1    , 17   , 853    , ’ō-ṯām                 , them                           ,                                             , DirObjM ; 3mp
gen  , 1    , 17   , 430    , elohim                 , God                            ,                                             , N-mp
gen  , 1    , 17   , 7549   , bir-qî-a‘              , in the firmament               ,                                             , Prep-b ; N-msc
gen  , 1    , 17   , 8064   , haš-šā-mā-yim          , of the heavens                 ,                                             , Art ; N-mp
gen  , 1    , 17   ,        ,                        , ;                              ,                                             , Punc
---- , ---- , ---- , ------ , ---------------------- , ----------------------------   , ------------------------------------------- , ---------------------------------------
gen  , 1    , 17   , 215    , lə-hā-’îr              , to shine                       ,                                             , Prep-l ; V-Hifil-Inf
gen  , 1    , 17   , 5921   , ‘al-                   , upon                           ,                                             , Prep
gen  , 1    , 17   , 776    , hā-’ā-reṣ.             , the earth                      ,                                             , Art ; N-fs
